Deleting each line of seed to set location bias.........Done

Generation: 0
BinarySearchProblemTest_10 fit: 1.0
BinarySearchProblemTest_11 fit: 1.0
BinarySearchProblemTest_12 fit: 1.0
BinarySearchProblemTest_13 fit: 1.0
BinarySearchProblemTest_14 fit: 1.0
BinarySearchProblemTest_18 fit: 10100.038
BinarySearchProblemTest_19 fit: 1.0
BinarySearchProblemTest_20 fit: 1.0
BinarySearchProblemTest_21 fit: 1.0
BinarySearchProblemTest_22 fit: 1.0
BinarySearchProblemTest_24 fit: 1.0
BinarySearchProblemTest_26 fit: 1.0
BinarySearchProblemTest_27 fit: 1.0
BinarySearchProblemTest_28 fit: 1.0
BinarySearchProblemTest_29 fit: 1.0
BinarySearchProblemTest_31 fit: 1.0
BinarySearchProblemTest_32 fit: 1.0
BinarySearchProblemTest_33 fit: 1.0
BinarySearchProblemTest_34 fit: 1.0
BinarySearchProblemTest_35 fit: 1.0
BinarySearchProblemTest_36 fit: 1.0
BinarySearchProblemTest_38 fit: 1.0
BinarySearchProblemTest_39 fit: 1.0
BinarySearchProblemTest_40 fit: 34900.0
BinarySearchProblemTest_42 fit: 10101.411
BinarySearchProblemTest_43 fit: 1.0
BinarySearchProblemTest_44 fit: 1.0
BinarySearchProblemTest_45 fit: 1.0
BinarySearchProblemTest_46 fit: 1.0
BinarySearchProblemTest_47 fit: 1.0
BinarySearchProblemTest_48 fit: 34900.0
BinarySearchProblemTest_49 fit: 10100.206
BinarySearchProblemTest_50 fit: 1.0
BinarySearchProblemTest_53 fit: 1.0
BinarySearchProblemTest_55 fit: 1.0
BinarySearchProblemTest_56 fit: 1.0
BinarySearchProblemTest_57 fit: 1.0
BinarySearchProblemTest_58 fit: 1.0
BinarySearchProblemTest_59 fit: 1.0
BinarySearchProblemTest_60 fit: 100.99522
BinarySearchProblemTest_62 fit: 1.0
BinarySearchProblemTest_63 fit: 10100.038
BinarySearchProblemTest_64 fit: 1.0
BinarySearchProblemTest_65 fit: 1.0
BinarySearchProblemTest_67 fit: 1.0
BinarySearchProblemTest_68 fit: 1.0
BinarySearchProblemTest_69 fit: 1.0
BinarySearchProblemTest_70 fit: 1.0
BinarySearchProblemTest_71 fit: 34900.0
BinarySearchProblemTest_73 fit: 1.0
BinarySearchProblemTest_74 fit: 1.0
BinarySearchProblemTest_75 fit: 1.0
BinarySearchProblemTest_76 fit: 1.0
BinarySearchProblemTest_78 fit: 1.0
BinarySearchProblemTest_80 fit: 1.0
BinarySearchProblemTest_81 fit: 1.0
BinarySearchProblemTest_82 fit: 34900.0
BinarySearchProblemTest_83 fit: 1.0
BinarySearchProblemTest_84 fit: 1.0
BinarySearchProblemTest_85 fit: 1.0
BinarySearchProblemTest_86 fit: 0.9282297
BinarySearchProblemTest_88 fit: 1.0
BinarySearchProblemTest_89 fit: 1.0
BinarySearchProblemTest_90 fit: 1.0
BinarySearchProblemTest_91 fit: 1.0
BinarySearchProblemTest_92 fit: 1.0
BinarySearchProblemTest_93 fit: 1.0
BinarySearchProblemTest_95 fit: 10100.22
BinarySearchProblemTest_96 fit: 0.8564593
BinarySearchProblemTest_97 fit: 1.0
BinarySearchProblemTest_98 fit: 10101.311
BinarySearchProblemTest_99 fit: 1.0
BinarySearchProblemTest_101 fit: 1.0
BinarySearchProblemTest_102 fit: 1.0
BinarySearchProblemTest_103 fit: 1.0
BinarySearchProblemTest_105 fit: 1.0
BinarySearchProblemTest_107 fit: 100.14354
BinarySearchProblemTest_108 fit: 0.32057416
BinarySearchProblemTest_109 fit: 1.0
BinarySearchProblemTest_110 fit: 1.0
BinarySearchProblemTest_111 fit: 0.29186603
BinarySearchProblemTest_112 fit: 1.0
BinarySearchProblemTest_113 fit: 1.0
BinarySearchProblemTest_114 fit: 1.0
BinarySearchProblemTest_115 fit: 1.0
