Deleting each line of seed to set location bias...............Done

Generation: 0
ExponentialSearchProblemTest_17 fit: 1.0
ExponentialSearchProblemTest_20 fit: 1.0
ExponentialSearchProblemTest_21 fit: 1.0
ExponentialSearchProblemTest_22 fit: 1.0
ExponentialSearchProblemTest_23 fit: 1.0
ExponentialSearchProblemTest_24 fit: 1.0
ExponentialSearchProblemTest_25 fit: 1.0
ExponentialSearchProblemTest_26 fit: 1.0
ExponentialSearchProblemTest_27 fit: 10101.0
ExponentialSearchProblemTest_29 fit: 1.0
ExponentialSearchProblemTest_30 fit: 34900.0
ExponentialSearchProblemTest_31 fit: 1.0
ExponentialSearchProblemTest_32 fit: 1.0
ExponentialSearchProblemTest_33 fit: 1.0
ExponentialSearchProblemTest_34 fit: 10000.072
ExponentialSearchProblemTest_35 fit: 1.0072464
ExponentialSearchProblemTest_36 fit: 1.0
ExponentialSearchProblemTest_37 fit: 1.0
ExponentialSearchProblemTest_39 fit: 1.0
ExponentialSearchProblemTest_41 fit: 1.0
ExponentialSearchProblemTest_42 fit: 1.0
ExponentialSearchProblemTest_44 fit: 1.0
ExponentialSearchProblemTest_45 fit: 1.0
ExponentialSearchProblemTest_46 fit: 1.0
ExponentialSearchProblemTest_47 fit: 1.0
ExponentialSearchProblemTest_48 fit: 1.0
ExponentialSearchProblemTest_49 fit: 1.0
ExponentialSearchProblemTest_50 fit: 1.0
ExponentialSearchProblemTest_51 fit: 1.0
ExponentialSearchProblemTest_53 fit: 1.0
ExponentialSearchProblemTest_59 fit: 10100.195
ExponentialSearchProblemTest_60 fit: 1.0
ExponentialSearchProblemTest_62 fit: 1.0
ExponentialSearchProblemTest_65 fit: 1.0
ExponentialSearchProblemTest_66 fit: 1.0
ExponentialSearchProblemTest_67 fit: 1.0
ExponentialSearchProblemTest_68 fit: 1.0
ExponentialSearchProblemTest_69 fit: 1.0
ExponentialSearchProblemTest_70 fit: 1.0
ExponentialSearchProblemTest_71 fit: 1.0
ExponentialSearchProblemTest_75 fit: 1.0
ExponentialSearchProblemTest_76 fit: 1.0
ExponentialSearchProblemTest_77 fit: 1.0
ExponentialSearchProblemTest_78 fit: 1.0
ExponentialSearchProblemTest_79 fit: 10101.0
ExponentialSearchProblemTest_80 fit: 1.0
ExponentialSearchProblemTest_81 fit: 1.0
ExponentialSearchProblemTest_82 fit: 1.0
ExponentialSearchProblemTest_83 fit: 1.0
ExponentialSearchProblemTest_85 fit: 1.0
ExponentialSearchProblemTest_87 fit: 1.0
ExponentialSearchProblemTest_88 fit: 1.0
ExponentialSearchProblemTest_89 fit: 1.0
ExponentialSearchProblemTest_90 fit: 1.0
ExponentialSearchProblemTest_92 fit: 1.0
ExponentialSearchProblemTest_93 fit: 1.0
ExponentialSearchProblemTest_95 fit: 1.0
ExponentialSearchProblemTest_96 fit: 1.0
ExponentialSearchProblemTest_100 fit: 1.0
ExponentialSearchProblemTest_101 fit: 1.0
ExponentialSearchProblemTest_102 fit: 1.0
ExponentialSearchProblemTest_103 fit: 1.0
ExponentialSearchProblemTest_105 fit: 1.0
ExponentialSearchProblemTest_107 fit: 1.0
ExponentialSearchProblemTest_109 fit: 1.0
ExponentialSearchProblemTest_111 fit: 1.0
ExponentialSearchProblemTest_112 fit: 0.84782606
ExponentialSearchProblemTest_113 fit: 1.0
ExponentialSearchProblemTest_114 fit: 1.0
ExponentialSearchProblemTest_115 fit: 34900.0
ExponentialSearchProblemTest_116 fit: 1.0
ExponentialSearchProblemTest_119 fit: 1.0
ExponentialSearchProblemTest_120 fit: 1.0
ExponentialSearchProblemTest_121 fit: 1.0
ExponentialSearchProblemTest_122 fit: 1.0
ExponentialSearchProblemTest_127 fit: 10101.0
ExponentialSearchProblemTest_129 fit: 1.0
ExponentialSearchProblemTest_130 fit: 1.0
ExponentialSearchProblemTest_132 fit: 1.0
ExponentialSearchProblemTest_133 fit: 1.0
ExponentialSearchProblemTest_134 fit: 1.0
ExponentialSearchProblemTest_135 fit: 1.0
ExponentialSearchProblemTest_136 fit: 1.0
ExponentialSearchProblemTest_137 fit: 1.0
ExponentialSearchProblemTest_138 fit: 1.0
ExponentialSearchProblemTest_139 fit: 1.0
ExponentialSearchProblemTest_140 fit: 34900.0
ExponentialSearchProblemTest_141 fit: 1.0
ExponentialSearchProblemTest_142 fit: 1.0
ExponentialSearchProblemTest_144 fit: 1.0
ExponentialSearchProblemTest_145 fit: 1.0
ExponentialSearchProblemTest_146 fit: 1.0
ExponentialSearchProblemTest_148 fit: 1.0
ExponentialSearchProblemTest_149 fit: 1.0
ExponentialSearchProblemTest_150 fit: 1.0
ExponentialSearchProblemTest_151 fit: 1.0
ExponentialSearchProblemTest_152 fit: 1.0
ExponentialSearchProblemTest_153 fit: 1.0
ExponentialSearchProblemTest_154 fit: 1.0
ExponentialSearchProblemTest_155 fit: 1.0
ExponentialSearchProblemTest_156 fit: 1.0
ExponentialSearchProblemTest_157 fit: 1.0
ExponentialSearchProblemTest_159 fit: 1.0
ExponentialSearchProblemTest_160 fit: 1.0
ExponentialSearchProblemTest_162 fit: 1.0
ExponentialSearchProblemTest_164 fit: 34900.0
ExponentialSearchProblemTest_168 fit: 1.0
ExponentialSearchProblemTest_169 fit: 1.0
