Deleting each line of seed to set location bias.......................Done

Generation: 0
FibonacciSearchProblemTest_24 fit: 1.0
FibonacciSearchProblemTest_25 fit: 1.0
FibonacciSearchProblemTest_26 fit: 1.0
FibonacciSearchProblemTest_27 fit: 1.0
FibonacciSearchProblemTest_28 fit: 34900.0
FibonacciSearchProblemTest_29 fit: 1.0
FibonacciSearchProblemTest_30 fit: 1.0
FibonacciSearchProblemTest_31 fit: 34900.0
FibonacciSearchProblemTest_32 fit: 1.0
FibonacciSearchProblemTest_33 fit: 1.0
FibonacciSearchProblemTest_34 fit: 1.0
FibonacciSearchProblemTest_35 fit: 1.0
FibonacciSearchProblemTest_36 fit: 1.0
FibonacciSearchProblemTest_37 fit: 1.0
FibonacciSearchProblemTest_38 fit: 1.0
FibonacciSearchProblemTest_39 fit: 1.0
FibonacciSearchProblemTest_40 fit: 1.0
FibonacciSearchProblemTest_41 fit: 1.0
FibonacciSearchProblemTest_42 fit: 1.0
FibonacciSearchProblemTest_43 fit: 1.0
FibonacciSearchProblemTest_44 fit: 1.0
FibonacciSearchProblemTest_45 fit: 1.0
FibonacciSearchProblemTest_46 fit: 1.0
FibonacciSearchProblemTest_47 fit: 1.0
FibonacciSearchProblemTest_48 fit: 1.0
FibonacciSearchProblemTest_49 fit: 1.0
FibonacciSearchProblemTest_50 fit: 1.0
FibonacciSearchProblemTest_51 fit: 1.0
FibonacciSearchProblemTest_52 fit: 1.0
FibonacciSearchProblemTest_53 fit: 1.0
FibonacciSearchProblemTest_54 fit: 1.0
FibonacciSearchProblemTest_55 fit: 1.0
FibonacciSearchProblemTest_56 fit: 10100.779
FibonacciSearchProblemTest_57 fit: 1.0
FibonacciSearchProblemTest_58 fit: 1.0
FibonacciSearchProblemTest_59 fit: 1.0
FibonacciSearchProblemTest_60 fit: 1.0
FibonacciSearchProblemTest_61 fit: 1.0
FibonacciSearchProblemTest_62 fit: 34900.0
FibonacciSearchProblemTest_64 fit: 1.0
FibonacciSearchProblemTest_65 fit: 1.0
FibonacciSearchProblemTest_66 fit: 1.0
FibonacciSearchProblemTest_68 fit: 34900.0
FibonacciSearchProblemTest_69 fit: 1.0
FibonacciSearchProblemTest_70 fit: 1.0
FibonacciSearchProblemTest_71 fit: 1.0
FibonacciSearchProblemTest_73 fit: 1.0
FibonacciSearchProblemTest_74 fit: 1.0
FibonacciSearchProblemTest_75 fit: 4600.426
FibonacciSearchProblemTest_76 fit: 10100.874
FibonacciSearchProblemTest_77 fit: 34900.0
FibonacciSearchProblemTest_78 fit: 1.0
FibonacciSearchProblemTest_79 fit: 1.0
