Deleting each line of seed to set location bias...............Done

Generation: 0
JumpSearchProblemTest_16 fit: 1.0
JumpSearchProblemTest_18 fit: 6.895425
JumpSearchProblemTest_19 fit: 1.0
JumpSearchProblemTest_20 fit: 10100.141
JumpSearchProblemTest_21 fit: 1.0
JumpSearchProblemTest_22 fit: 10101.003
JumpSearchProblemTest_24 fit: 1.0
JumpSearchProblemTest_25 fit: 1.0
JumpSearchProblemTest_26 fit: 1.0
JumpSearchProblemTest_27 fit: 1.0
JumpSearchProblemTest_29 fit: 1.0
JumpSearchProblemTest_30 fit: 1.0
JumpSearchProblemTest_31 fit: 1.0
JumpSearchProblemTest_33 fit: 1.0
JumpSearchProblemTest_34 fit: 1.0
JumpSearchProblemTest_35 fit: 1.0
JumpSearchProblemTest_36 fit: 1.0
JumpSearchProblemTest_38 fit: 1.0
JumpSearchProblemTest_39 fit: 1.0
JumpSearchProblemTest_40 fit: 1.0
JumpSearchProblemTest_41 fit: 1.0
JumpSearchProblemTest_42 fit: 10100.723
JumpSearchProblemTest_44 fit: 1.0
JumpSearchProblemTest_45 fit: 1.0
JumpSearchProblemTest_46 fit: 1.0
JumpSearchProblemTest_47 fit: 1.0
JumpSearchProblemTest_48 fit: 1.0
JumpSearchProblemTest_49 fit: 1.0
JumpSearchProblemTest_50 fit: 1.0
JumpSearchProblemTest_51 fit: 1.0
JumpSearchProblemTest_52 fit: 1.0
JumpSearchProblemTest_53 fit: 1.0
JumpSearchProblemTest_54 fit: 1.0
JumpSearchProblemTest_55 fit: 1.0
JumpSearchProblemTest_56 fit: 1.0
JumpSearchProblemTest_57 fit: 1.0
JumpSearchProblemTest_60 fit: 1.0
JumpSearchProblemTest_61 fit: 1.0
JumpSearchProblemTest_62 fit: 1.0
JumpSearchProblemTest_63 fit: 1.0
JumpSearchProblemTest_64 fit: 1.0
JumpSearchProblemTest_65 fit: 18882.87
JumpSearchProblemTest_66 fit: 1.0
JumpSearchProblemTest_67 fit: 1.0
JumpSearchProblemTest_69 fit: 1.0
JumpSearchProblemTest_70 fit: 1.0
JumpSearchProblemTest_71 fit: 1.0
JumpSearchProblemTest_72 fit: 1.0
JumpSearchProblemTest_73 fit: 1.0
JumpSearchProblemTest_74 fit: 1.0
JumpSearchProblemTest_76 fit: 1.0
JumpSearchProblemTest_77 fit: 1.0
JumpSearchProblemTest_78 fit: 1.0
JumpSearchProblemTest_79 fit: 1.0
JumpSearchProblemTest_80 fit: 1.0
JumpSearchProblemTest_81 fit: 1.0
JumpSearchProblemTest_82 fit: 1.0
JumpSearchProblemTest_83 fit: 1.0
JumpSearchProblemTest_86 fit: 1.0
JumpSearchProblemTest_87 fit: 1.0
JumpSearchProblemTest_88 fit: 1.0
JumpSearchProblemTest_89 fit: 1.0
JumpSearchProblemTest_90 fit: 1.0
JumpSearchProblemTest_91 fit: 34900.0
JumpSearchProblemTest_92 fit: 1.0
JumpSearchProblemTest_93 fit: 1.0
JumpSearchProblemTest_94 fit: 1.0
JumpSearchProblemTest_95 fit: 10100.997
JumpSearchProblemTest_96 fit: 1.0
JumpSearchProblemTest_98 fit: 1.0
JumpSearchProblemTest_101 fit: 1.0
JumpSearchProblemTest_104 fit: 1.0
JumpSearchProblemTest_105 fit: 1.0
JumpSearchProblemTest_106 fit: 1.0
JumpSearchProblemTest_107 fit: 10100.549
JumpSearchProblemTest_108 fit: 5.4117646
JumpSearchProblemTest_109 fit: 1.0
JumpSearchProblemTest_111 fit: 1.0
JumpSearchProblemTest_112 fit: 1.0
JumpSearchProblemTest_113 fit: 1.3954248
JumpSearchProblemTest_114 fit: 1.0
JumpSearchProblemTest_115 fit: 1.0
JumpSearchProblemTest_116 fit: 1.0
JumpSearchProblemTest_117 fit: 1.0
JumpSearchProblemTest_118 fit: 1.0
JumpSearchProblemTest_119 fit: 1.0
JumpSearchProblemTest_121 fit: 1.0
JumpSearchProblemTest_122 fit: 1.0
JumpSearchProblemTest_123 fit: 1.0
JumpSearchProblemTest_124 fit: 1.0
JumpSearchProblemTest_125 fit: 5.640523
JumpSearchProblemTest_126 fit: 1.0
JumpSearchProblemTest_127 fit: 1.0
JumpSearchProblemTest_128 fit: 1.0
JumpSearchProblemTest_129 fit: 1.3202615
JumpSearchProblemTest_130 fit: 1.0
JumpSearchProblemTest_131 fit: 1.0
JumpSearchProblemTest_132 fit: 10100.997
JumpSearchProblemTest_133 fit: 1.0
JumpSearchProblemTest_134 fit: 1.0
JumpSearchProblemTest_135 fit: 5.281046
JumpSearchProblemTest_136 fit: 1.0
JumpSearchProblemTest_137 fit: 1.0
JumpSearchProblemTest_138 fit: 1.0
JumpSearchProblemTest_139 fit: 1.0
JumpSearchProblemTest_140 fit: 1.0
JumpSearchProblemTest_142 fit: 3.0555556
JumpSearchProblemTest_144 fit: 1.0
JumpSearchProblemTest_146 fit: 1.0
JumpSearchProblemTest_147 fit: 1.0
Generation: 1
JumpSearchProblemTest_167 fit: 1.0
JumpSearchProblemTest_174 fit: 1.0
JumpSearchProblemTest_173 fit: 1.0
JumpSearchProblemTest_171 fit: 1.0
JumpSearchProblemTest_170 fit: 10101.013
JumpSearchProblemTest_195 fit: 10101.013
JumpSearchProblemTest_190 fit: 10101.153
JumpSearchProblemTest_188 fit: 1.0
JumpSearchProblemTest_186 fit: 1.0
JumpSearchProblemTest_178 fit: 34900.0
JumpSearchProblemTest_180 fit: 34900.0
JumpSearchProblemTest_182 fit: 34900.0
JumpSearchProblemTest_184 fit: 34900.0
JumpSearchProblemTest_185 fit: 34900.0
JumpSearchProblemTest_218 fit: 1.0
JumpSearchProblemTest_215 fit: 1.0
JumpSearchProblemTest_213 fit: 1.0
JumpSearchProblemTest_198 fit: 34900.0
JumpSearchProblemTest_209 fit: 1.7058823
JumpSearchProblemTest_200 fit: 34900.0
JumpSearchProblemTest_205 fit: 10101.003
JumpSearchProblemTest_203 fit: 1.0
JumpSearchProblemTest_239 fit: 1.003268
JumpSearchProblemTest_238 fit: 1.0
JumpSearchProblemTest_236 fit: 1.0
JumpSearchProblemTest_234 fit: 10100.922
JumpSearchProblemTest_232 fit: 1.0
JumpSearchProblemTest_229 fit: 1.0
JumpSearchProblemTest_226 fit: 1.0
JumpSearchProblemTest_224 fit: 1.0
JumpSearchProblemTest_273 fit: 1.3954248
JumpSearchProblemTest_269 fit: 0.99346405
JumpSearchProblemTest_260 fit: 1.0
JumpSearchProblemTest_257 fit: 1.0
JumpSearchProblemTest_255 fit: 1.0
JumpSearchProblemTest_254 fit: 10101.189
JumpSearchProblemTest_250 fit: 1.0
JumpSearchProblemTest_243 fit: 5.5751634
JumpSearchProblemTest_293 fit: 1.0
JumpSearchProblemTest_290 fit: 1.0
JumpSearchProblemTest_289 fit: 1.0
JumpSearchProblemTest_286 fit: 1.0
JumpSearchProblemTest_282 fit: 1.0
JumpSearchProblemTest_280 fit: 1.614379
JumpSearchProblemTest_277 fit: 10101.007
JumpSearchProblemTest_274 fit: 0.99346405
JumpSearchProblemTest_309 fit: 1.0
JumpSearchProblemTest_307 fit: 1.0
JumpSearchProblemTest_304 fit: 1.0
JumpSearchProblemTest_302 fit: 1.0
JumpSearchProblemTest_299 fit: 1.0
JumpSearchProblemTest_296 fit: 1.0
JumpSearchProblemTest_326 fit: 1.0
JumpSearchProblemTest_325 fit: 1.3594772
JumpSearchProblemTest_322 fit: 10101.0
JumpSearchProblemTest_319 fit: 1.0
JumpSearchProblemTest_316 fit: 5.281046
JumpSearchProblemTest_314 fit: 1.0
JumpSearchProblemTest_313 fit: 1.0
JumpSearchProblemTest_344 fit: 34900.0
JumpSearchProblemTest_342 fit: 1.0
JumpSearchProblemTest_340 fit: 1.0
JumpSearchProblemTest_338 fit: 1.0
JumpSearchProblemTest_335 fit: 1.0
JumpSearchProblemTest_332 fit: 1.0
JumpSearchProblemTest_330 fit: 10100.536
JumpSearchProblemTest_328 fit: 1.3235294
JumpSearchProblemTest_361 fit: 10100.513
JumpSearchProblemTest_360 fit: 10101.065
JumpSearchProblemTest_356 fit: 1.0
JumpSearchProblemTest_353 fit: 1.0
JumpSearchProblemTest_349 fit: 1.0
JumpSearchProblemTest_345 fit: 10101.013
JumpSearchProblemTest_381 fit: 5.529412
JumpSearchProblemTest_380 fit: 1.0
JumpSearchProblemTest_377 fit: 1.0
JumpSearchProblemTest_374 fit: 1.3235294
JumpSearchProblemTest_373 fit: 1.0
JumpSearchProblemTest_371 fit: 1.0
JumpSearchProblemTest_369 fit: 1.0
JumpSearchProblemTest_368 fit: 1.0
JumpSearchProblemTest_367 fit: 34900.0
JumpSearchProblemTest_406 fit: 1.0
JumpSearchProblemTest_404 fit: 5.281046
JumpSearchProblemTest_402 fit: 1.4052287
JumpSearchProblemTest_400 fit: 10100.997
JumpSearchProblemTest_397 fit: 1.0
JumpSearchProblemTest_395 fit: 1.0
JumpSearchProblemTest_391 fit: 1.0
JumpSearchProblemTest_388 fit: 1.0
JumpSearchProblemTest_384 fit: 1.0
JumpSearchProblemTest_435 fit: 1.3202615
JumpSearchProblemTest_431 fit: 1.0
JumpSearchProblemTest_428 fit: 4.3202615
JumpSearchProblemTest_424 fit: 1.0
JumpSearchProblemTest_422 fit: 0.96732026
JumpSearchProblemTest_418 fit: 1.1960784
JumpSearchProblemTest_410 fit: 1.0
JumpSearchProblemTest_408 fit: 1.0
JumpSearchProblemTest_455 fit: 1.0
Generation: 2
JumpSearchProblemTest_473 fit: 1.0
JumpSearchProblemTest_484 fit: 1.0
JumpSearchProblemTest_483 fit: 10100.393
JumpSearchProblemTest_482 fit: 34900.0
JumpSearchProblemTest_481 fit: 34900.0
JumpSearchProblemTest_471 fit: 7.5522876
JumpSearchProblemTest_476 fit: 1.0
JumpSearchProblemTest_474 fit: 1.0
JumpSearchProblemTest_470 fit: 1.0
JumpSearchProblemTest_502 fit: 1.0718955
JumpSearchProblemTest_499 fit: 1.0
JumpSearchProblemTest_498 fit: 10105.347
JumpSearchProblemTest_495 fit: 1.0
JumpSearchProblemTest_494 fit: 1.0
JumpSearchProblemTest_492 fit: 1.0
JumpSearchProblemTest_490 fit: 1.0
JumpSearchProblemTest_488 fit: 10100.974
JumpSearchProblemTest_486 fit: 1.0
JumpSearchProblemTest_522 fit: 10100.124
JumpSearchProblemTest_516 fit: 1.0
JumpSearchProblemTest_513 fit: 1.0
JumpSearchProblemTest_511 fit: 1.0
JumpSearchProblemTest_509 fit: 34900.0
JumpSearchProblemTest_507 fit: 1.0
JumpSearchProblemTest_545 fit: 1.0
JumpSearchProblemTest_543 fit: 1.0
JumpSearchProblemTest_538 fit: 34900.0
JumpSearchProblemTest_536 fit: 34900.0
JumpSearchProblemTest_534 fit: 34900.0
JumpSearchProblemTest_530 fit: 10105.598
JumpSearchProblemTest_528 fit: 5.281046
JumpSearchProblemTest_564 fit: 1.0
JumpSearchProblemTest_562 fit: 1.0
JumpSearchProblemTest_560 fit: 10100.102
JumpSearchProblemTest_558 fit: 1.0
JumpSearchProblemTest_553 fit: 10100.974
JumpSearchProblemTest_548 fit: 1.0
JumpSearchProblemTest_546 fit: 34900.0
JumpSearchProblemTest_589 fit: 1.0
JumpSearchProblemTest_586 fit: 1.0
JumpSearchProblemTest_584 fit: 1.0
JumpSearchProblemTest_582 fit: 4.3202615
JumpSearchProblemTest_578 fit: 1.0
JumpSearchProblemTest_576 fit: 4.6797385
JumpSearchProblemTest_573 fit: 10100.997
JumpSearchProblemTest_570 fit: 34900.0
JumpSearchProblemTest_605 fit: 5.281046
JumpSearchProblemTest_603 fit: 1.0
JumpSearchProblemTest_599 fit: 1.0
JumpSearchProblemTest_597 fit: 1.3267974
JumpSearchProblemTest_594 fit: 10101.0
JumpSearchProblemTest_591 fit: 1.0
JumpSearchProblemTest_624 fit: 1.0
JumpSearchProblemTest_621 fit: 1.0
JumpSearchProblemTest_620 fit: 1.0
JumpSearchProblemTest_613 fit: 1.0
JumpSearchProblemTest_611 fit: 10100.114
JumpSearchProblemTest_610 fit: 1.0
JumpSearchProblemTest_609 fit: 34900.0
JumpSearchProblemTest_652 fit: 1.3267974
JumpSearchProblemTest_649 fit: 0.99346405
JumpSearchProblemTest_646 fit: 1.0
JumpSearchProblemTest_644 fit: 1.0
JumpSearchProblemTest_640 fit: 1.0
JumpSearchProblemTest_638 fit: 34900.0
JumpSearchProblemTest_635 fit: 1.0
JumpSearchProblemTest_633 fit: 10100.9375
JumpSearchProblemTest_630 fit: 1.0
JumpSearchProblemTest_629 fit: 1.0
JumpSearchProblemTest_668 fit: 1.0326798
JumpSearchProblemTest_662 fit: 1.0
JumpSearchProblemTest_659 fit: 1.0
JumpSearchProblemTest_657 fit: 1.0
JumpSearchProblemTest_655 fit: 1.0
JumpSearchProblemTest_653 fit: 1.0
JumpSearchProblemTest_686 fit: 34900.0
JumpSearchProblemTest_683 fit: 1.0
JumpSearchProblemTest_681 fit: 1.0
JumpSearchProblemTest_680 fit: 5.5751634
JumpSearchProblemTest_678 fit: 10100.539
JumpSearchProblemTest_676 fit: 1.0
JumpSearchProblemTest_674 fit: 1.3888888
JumpSearchProblemTest_672 fit: 1.0
JumpSearchProblemTest_670 fit: 5.477124
JumpSearchProblemTest_706 fit: 34900.0
JumpSearchProblemTest_704 fit: 1.1960784
JumpSearchProblemTest_702 fit: 5.346405
JumpSearchProblemTest_700 fit: 1.0
JumpSearchProblemTest_696 fit: 10100.51
JumpSearchProblemTest_693 fit: 34900.0
JumpSearchProblemTest_691 fit: 10105.532
JumpSearchProblemTest_689 fit: 10101.003
JumpSearchProblemTest_733 fit: 1.0
JumpSearchProblemTest_730 fit: 10100.51
JumpSearchProblemTest_724 fit: 10101.189
JumpSearchProblemTest_723 fit: 1.0
JumpSearchProblemTest_719 fit: 10100.474
JumpSearchProblemTest_717 fit: 1.0
JumpSearchProblemTest_715 fit: 10100.997
JumpSearchProblemTest_712 fit: 1.0
Generation: 3
JumpSearchProblemTest_773 fit: 34900.0
JumpSearchProblemTest_786 fit: 5.5751634
JumpSearchProblemTest_776 fit: 34900.0
JumpSearchProblemTest_772 fit: 34900.0
JumpSearchProblemTest_783 fit: 34900.0
JumpSearchProblemTest_782 fit: 34900.0
JumpSearchProblemTest_781 fit: 34900.0
JumpSearchProblemTest_774 fit: 34900.0
JumpSearchProblemTest_788 fit: 34900.0
JumpSearchProblemTest_797 fit: 1.0
JumpSearchProblemTest_822 fit: 10101.003
JumpSearchProblemTest_821 fit: 10100.572
JumpSearchProblemTest_826 fit: 34900.0
JumpSearchProblemTest_820 fit: 5.640523
JumpSearchProblemTest_818 fit: 3.9411764
JumpSearchProblemTest_816 fit: 1.0
JumpSearchProblemTest_815 fit: 10105.532
JumpSearchProblemTest_808 fit: 6.3398695
JumpSearchProblemTest_800 fit: 34900.0
JumpSearchProblemTest_835 fit: 34900.0
JumpSearchProblemTest_834 fit: 10100.15
JumpSearchProblemTest_833 fit: 10100.393
JumpSearchProblemTest_843 fit: 34900.0
JumpSearchProblemTest_828 fit: 1.0
JumpSearchProblemTest_825 fit: 5.640523
JumpSearchProblemTest_848 fit: 10100.997
JumpSearchProblemTest_847 fit: 5.640523
JumpSearchProblemTest_845 fit: 1.0
JumpSearchProblemTest_840 fit: 34900.0
JumpSearchProblemTest_838 fit: 1.0098039
JumpSearchProblemTest_866 fit: 6.895425
JumpSearchProblemTest_863 fit: 10100.124
JumpSearchProblemTest_862 fit: 10100.454
JumpSearchProblemTest_861 fit: 1.3202615
JumpSearchProblemTest_860 fit: 10100.974
JumpSearchProblemTest_858 fit: 5.640523
JumpSearchProblemTest_856 fit: 10100.532
JumpSearchProblemTest_854 fit: 1.0
JumpSearchProblemTest_853 fit: 10100.974
JumpSearchProblemTest_852 fit: 10101.003
JumpSearchProblemTest_891 fit: 10100.393
JumpSearchProblemTest_889 fit: 10101.003
JumpSearchProblemTest_886 fit: 10100.51
JumpSearchProblemTest_880 fit: 1.1960784
JumpSearchProblemTest_876 fit: 34900.0
JumpSearchProblemTest_870 fit: 34900.0
JumpSearchProblemTest_873 fit: 34900.0
JumpSearchProblemTest_912 fit: 0.99346405
JumpSearchProblemTest_910 fit: 10100.974
JumpSearchProblemTest_907 fit: 10100.978
JumpSearchProblemTest_902 fit: 10101.226
JumpSearchProblemTest_900 fit: 0.99346405
JumpSearchProblemTest_893 fit: 34900.0
JumpSearchProblemTest_897 fit: 10100.723
JumpSearchProblemTest_895 fit: 34900.0
JumpSearchProblemTest_934 fit: 10100.971
JumpSearchProblemTest_932 fit: 10100.301
JumpSearchProblemTest_929 fit: 34900.0
JumpSearchProblemTest_924 fit: 7.5522876
JumpSearchProblemTest_920 fit: 10101.003
JumpSearchProblemTest_919 fit: 4.3202615
JumpSearchProblemTest_916 fit: 1.3594772
JumpSearchProblemTest_914 fit: 34900.0
JumpSearchProblemTest_963 fit: 5.4117646
JumpSearchProblemTest_961 fit: 4.3366013
JumpSearchProblemTest_954 fit: 1.0
JumpSearchProblemTest_952 fit: 0.99346405
JumpSearchProblemTest_947 fit: 10100.539
JumpSearchProblemTest_976 fit: 34900.0
JumpSearchProblemTest_944 fit: 10101.003
JumpSearchProblemTest_939 fit: 5.372549
JumpSearchProblemTest_935 fit: 18580.012
JumpSearchProblemTest_987 fit: 1.0
JumpSearchProblemTest_984 fit: 10100.114
JumpSearchProblemTest_979 fit: 1.0
JumpSearchProblemTest_975 fit: 34900.0
JumpSearchProblemTest_972 fit: 1.0
JumpSearchProblemTest_970 fit: 1.0
JumpSearchProblemTest_968 fit: 10100.51
JumpSearchProblemTest_965 fit: 5.281046
JumpSearchProblemTest_1004 fit: 0.99346405
JumpSearchProblemTest_1002 fit: 10101.0
JumpSearchProblemTest_1000 fit: 34900.0
JumpSearchProblemTest_998 fit: 34900.0
JumpSearchProblemTest_993 fit: 10100.114
JumpSearchProblemTest_992 fit: 1.3954248
JumpSearchProblemTest_990 fit: 10105.771
JumpSearchProblemTest_1018 fit: 10100.974
JumpSearchProblemTest_1015 fit: 1.7058823
JumpSearchProblemTest_1014 fit: 20001.004
JumpSearchProblemTest_1013 fit: 5.640523
JumpSearchProblemTest_1012 fit: 10106.902
JumpSearchProblemTest_1008 fit: 10100.078
JumpSearchProblemTest_1006 fit: 10100.0625
JumpSearchProblemTest_1036 fit: 10100.141
JumpSearchProblemTest_1033 fit: 10100.532
JumpSearchProblemTest_1032 fit: 10100.532
JumpSearchProblemTest_1030 fit: 1.0
JumpSearchProblemTest_1027 fit: 10105.529
JumpSearchProblemTest_1046 fit: 34900.0
Generation: 4
