Deleting each line of seed to set location bias.......Done

Generation: 0
SearchProblemTest_8 fit: 1.0
SearchProblemTest_9 fit: 1.0
SearchProblemTest_10 fit: 1.0
SearchProblemTest_11 fit: 1.0
SearchProblemTest_13 fit: 10100.01
SearchProblemTest_17 fit: 10100.01
SearchProblemTest_18 fit: 1.0
SearchProblemTest_19 fit: 1.0
SearchProblemTest_20 fit: 1.0
SearchProblemTest_21 fit: 1.0
SearchProblemTest_22 fit: 1.0
SearchProblemTest_23 fit: 1.0
SearchProblemTest_24 fit: 1.0
SearchProblemTest_25 fit: 1.0
SearchProblemTest_26 fit: 1.0
SearchProblemTest_27 fit: 1.0
SearchProblemTest_29 fit: 1.0
SearchProblemTest_32 fit: 1.0
SearchProblemTest_33 fit: 1.0
SearchProblemTest_34 fit: 1.0
SearchProblemTest_35 fit: 1.0
SearchProblemTest_36 fit: 1.0
SearchProblemTest_37 fit: 1.0
SearchProblemTest_39 fit: 1.0
SearchProblemTest_40 fit: 1.0
SearchProblemTest_41 fit: 1.0
SearchProblemTest_42 fit: 1.0
SearchProblemTest_43 fit: 1.0
SearchProblemTest_44 fit: 1.0
SearchProblemTest_45 fit: 1.0
SearchProblemTest_48 fit: 1.0
SearchProblemTest_50 fit: 200.9991
SearchProblemTest_51 fit: 1.0
SearchProblemTest_53 fit: 1.0
SearchProblemTest_54 fit: 1.0
SearchProblemTest_55 fit: 1.0044643
SearchProblemTest_56 fit: 10100.558
SearchProblemTest_58 fit: 1.0
SearchProblemTest_60 fit: 1.0
SearchProblemTest_61 fit: 100.55447
SearchProblemTest_63 fit: 1.0
SearchProblemTest_64 fit: 1.0
SearchProblemTest_68 fit: 1.0
SearchProblemTest_71 fit: 1.0
SearchProblemTest_72 fit: 10100.01
SearchProblemTest_73 fit: 1.0026785
SearchProblemTest_77 fit: 1.0
SearchProblemTest_78 fit: 34900.0
SearchProblemTest_79 fit: 1.0
SearchProblemTest_82 fit: 1.0
SearchProblemTest_83 fit: 1.0
SearchProblemTest_84 fit: 1.0
SearchProblemTest_85 fit: 1.0
SearchProblemTest_86 fit: 1.0
SearchProblemTest_87 fit: 34900.0
SearchProblemTest_88 fit: 10100.01
SearchProblemTest_89 fit: 1.0
SearchProblemTest_92 fit: 34900.0
SearchProblemTest_93 fit: 1.0
SearchProblemTest_94 fit: 1.0
SearchProblemTest_95 fit: 1.0
SearchProblemTest_96 fit: 1.0
SearchProblemTest_97 fit: 1.0026785
SearchProblemTest_98 fit: 1.0
SearchProblemTest_100 fit: 1.0
SearchProblemTest_102 fit: 1.0
SearchProblemTest_103 fit: 1.0
SearchProblemTest_104 fit: 1.0
SearchProblemTest_108 fit: 1.0142857
SearchProblemTest_109 fit: 10100.012
SearchProblemTest_110 fit: 1.0
SearchProblemTest_111 fit: 1.0
SearchProblemTest_112 fit: 1.0
SearchProblemTest_113 fit: 1.0
SearchProblemTest_114 fit: 1.0
SearchProblemTest_116 fit: 1.0
SearchProblemTest_117 fit: 1.0
SearchProblemTest_118 fit: 1.0
SearchProblemTest_120 fit: 1.0
SearchProblemTest_122 fit: 1.0
SearchProblemTest_123 fit: 1.0
SearchProblemTest_124 fit: 1.0
SearchProblemTest_125 fit: 1.0
SearchProblemTest_126 fit: 1.0
SearchProblemTest_128 fit: 1.0
SearchProblemTest_129 fit: 1.0901786
SearchProblemTest_130 fit: 1.0
SearchProblemTest_131 fit: 1.0
SearchProblemTest_132 fit: 1.0
SearchProblemTest_133 fit: 10100.999
SearchProblemTest_135 fit: 1.0
SearchProblemTest_137 fit: 10100.01
SearchProblemTest_138 fit: 1.0
SearchProblemTest_139 fit: 10100.01
SearchProblemTest_140 fit: 1.0
SearchProblemTest_141 fit: 1.0
SearchProblemTest_142 fit: 1.0
SearchProblemTest_144 fit: 100.82947
SearchProblemTest_145 fit: 1.0
SearchProblemTest_146 fit: 1.0
SearchProblemTest_147 fit: 1.0
SearchProblemTest_148 fit: 10100.01
SearchProblemTest_149 fit: 1.0
SearchProblemTest_150 fit: 1.0
SearchProblemTest_151 fit: 100.55447
SearchProblemTest_152 fit: 1.0
SearchProblemTest_153 fit: 1.0
SearchProblemTest_154 fit: 1.0
SearchProblemTest_155 fit: 1.0
SearchProblemTest_156 fit: 1.0
Generation: 1
SearchProblemTest_175 fit: 1.0
SearchProblemTest_193 fit: 1.0
SearchProblemTest_192 fit: 10100.009
SearchProblemTest_191 fit: 1.0
SearchProblemTest_188 fit: 1.0
SearchProblemTest_190 fit: 10100.829
SearchProblemTest_203 fit: 34900.0
SearchProblemTest_187 fit: 1.0
SearchProblemTest_184 fit: 1.0
SearchProblemTest_180 fit: 1.0
SearchProblemTest_177 fit: 1.0
SearchProblemTest_225 fit: 10100.009
SearchProblemTest_221 fit: 1.0
SearchProblemTest_216 fit: 1.0
SearchProblemTest_214 fit: 1.0
SearchProblemTest_213 fit: 1.0
SearchProblemTest_238 fit: 34900.0
SearchProblemTest_201 fit: 10100.011
SearchProblemTest_199 fit: 1.0
SearchProblemTest_197 fit: 1.0
SearchProblemTest_195 fit: 1.0071429
SearchProblemTest_249 fit: 1.0901786
SearchProblemTest_247 fit: 1.0
SearchProblemTest_244 fit: 1.0
SearchProblemTest_242 fit: 1.0
SearchProblemTest_237 fit: 10100.999
SearchProblemTest_235 fit: 34900.0
SearchProblemTest_230 fit: 1.0
SearchProblemTest_227 fit: 1.0
SearchProblemTest_274 fit: 1.0901786
SearchProblemTest_272 fit: 1.0071429
SearchProblemTest_270 fit: 10000.019
SearchProblemTest_268 fit: 10100.558
SearchProblemTest_265 fit: 1.0
SearchProblemTest_262 fit: 1.0008929
SearchProblemTest_261 fit: 1.0
SearchProblemTest_258 fit: 1.0
SearchProblemTest_256 fit: 10000.013
SearchProblemTest_295 fit: 1.0
SearchProblemTest_291 fit: 1.0
SearchProblemTest_290 fit: 10100.921
SearchProblemTest_286 fit: 1.0
SearchProblemTest_284 fit: 1.0
SearchProblemTest_282 fit: 1.0
SearchProblemTest_319 fit: 1.0
SearchProblemTest_317 fit: 1.0
SearchProblemTest_314 fit: 1.0
SearchProblemTest_308 fit: 10100.01
SearchProblemTest_305 fit: 10100.921
SearchProblemTest_303 fit: 10101.012
SearchProblemTest_300 fit: 1.0044643
SearchProblemTest_299 fit: 10101.012
SearchProblemTest_345 fit: 1.0
SearchProblemTest_341 fit: 1.0
SearchProblemTest_336 fit: 1.0
SearchProblemTest_330 fit: 1.0
SearchProblemTest_328 fit: 10100.829
SearchProblemTest_325 fit: 1.0901786
SearchProblemTest_367 fit: 1.0
SearchProblemTest_366 fit: 1.0
SearchProblemTest_364 fit: 10100.921
SearchProblemTest_360 fit: 1.0
SearchProblemTest_358 fit: 100.82947
SearchProblemTest_355 fit: 34900.0
SearchProblemTest_351 fit: 10201.0
SearchProblemTest_350 fit: 10100.009
SearchProblemTest_392 fit: 10100.009
SearchProblemTest_389 fit: 1.0
SearchProblemTest_385 fit: 10100.009
SearchProblemTest_384 fit: 1.0071429
SearchProblemTest_381 fit: 1.0
SearchProblemTest_378 fit: 1.0
SearchProblemTest_374 fit: 1.0
SearchProblemTest_370 fit: 1.0
SearchProblemTest_418 fit: 1.0
SearchProblemTest_416 fit: 10100.65
SearchProblemTest_414 fit: 1.0
SearchProblemTest_410 fit: 10100.829
SearchProblemTest_409 fit: 1.0
SearchProblemTest_406 fit: 1.0
SearchProblemTest_404 fit: 10101.012
SearchProblemTest_399 fit: 10100.011
SearchProblemTest_441 fit: 1.0
SearchProblemTest_439 fit: 1.0
SearchProblemTest_433 fit: 1.0
SearchProblemTest_431 fit: 1.0901786
SearchProblemTest_428 fit: 1.0
SearchProblemTest_426 fit: 1.0
SearchProblemTest_423 fit: 1.0
SearchProblemTest_420 fit: 10100.921
SearchProblemTest_468 fit: 9900.02
SearchProblemTest_464 fit: 1.0
SearchProblemTest_460 fit: 1.0
SearchProblemTest_458 fit: 1.0
SearchProblemTest_450 fit: 1.0
SearchProblemTest_448 fit: 1.0
SearchProblemTest_446 fit: 10100.011
SearchProblemTest_443 fit: 1.0044643
SearchProblemTest_492 fit: 100.55447
SearchProblemTest_489 fit: 10100.009
Generation: 2
SearchProblemTest_522 fit: 1.0
SearchProblemTest_519 fit: 9901.001
SearchProblemTest_516 fit: 1.0
